comment_id,user_id,timestamp,comment_text,sentiment_label,rating,consultation_type
1,7833,01-01-2025 00:00,Helpful advice,positive,4,Education
2,1704,01-01-2025 01:00,Very informative,neutral,2,General
3,7381,01-01-2025 02:00,Excellent consultation,positive,3,General
4,4819,01-01-2025 03:00,Very informative,neutral,4,General
5,9880,01-01-2025 04:00,Not satisfied,negative,1,General
6,9998,01-01-2025 05:00,Very informative,neutral,5,Legal
7,5601,01-01-2025 06:00,Helpful advice,positive,5,Health
8,5207,01-01-2025 07:00,Quick response,neutral,4,Legal
9,1854,01-01-2025 08:00,Very slow response,negative,3,Legal
10,3992,01-01-2025 09:00,Very informative,neutral,1,Education
11,2346,01-01-2025 10:00,Poor experience,negative,5,Legal
12,9975,01-01-2025 11:00,Not satisfied,negative,5,Education
13,5570,01-01-2025 12:00,Very informative,neutral,5,General
14,3028,01-01-2025 13:00,Quick response,neutral,2,Legal
15,6581,01-01-2025 14:00,Good service,positive,5,Legal
16,6343,01-01-2025 15:00,Excellent consultation,positive,5,Education
17,6646,01-01-2025 16:00,Not satisfied,negative,3,General
18,2109,01-01-2025 17:00,Helpful advice,positive,4,Health
19,5070,01-01-2025 18:00,Good service,positive,2,Health
20,5970,01-01-2025 19:00,Very informative,neutral,1,Education
21,9922,01-01-2025 20:00,Quick response,neutral,3,General
22,3810,01-01-2025 21:00,Very informative,neutral,2,Education
23,9682,01-01-2025 22:00,Helpful advice,positive,4,Legal
24,5343,01-01-2025 23:00,Good service,positive,2,Education
25,5500,01-02-2025 00:00,Poor experience,negative,2,Education
26,2827,01-02-2025 01:00,Very slow response,negative,3,General
27,5151,01-02-2025 02:00,Helpful advice,positive,1,Legal
28,2530,01-02-2025 03:00,Quick response,neutral,2,Legal
29,2986,01-02-2025 04:00,Poor experience,negative,5,Health
30,2588,01-02-2025 05:00,Very slow response,negative,4,Health
31,4202,01-02-2025 06:00,Good service,positive,4,Health
32,6171,01-02-2025 07:00,Good service,positive,5,Education
33,8763,01-02-2025 08:00,Quick response,neutral,5,Health
34,9889,01-02-2025 09:00,Poor experience,negative,2,Health
35,3243,01-02-2025 10:00,Very informative,neutral,1,Education
36,6372,01-02-2025 11:00,Poor experience,negative,5,Education
37,8490,01-02-2025 12:00,Helpful advice,positive,3,General
38,5611,01-02-2025 13:00,Good service,positive,1,Legal
39,8299,01-02-2025 14:00,Very slow response,negative,5,Health
40,9646,01-02-2025 15:00,Excellent consultation,positive,5,Health
41,8760,01-02-2025 16:00,Good service,positive,3,Legal
42,1662,01-02-2025 17:00,Poor experience,negative,4,Education
43,8966,01-02-2025 18:00,Helpful advice,positive,4,Health
44,6723,01-02-2025 19:00,Very informative,neutral,1,Education
45,7571,01-02-2025 20:00,Excellent consultation,positive,1,Legal
46,8756,01-02-2025 21:00,Helpful advice,positive,4,Legal
47,4521,01-02-2025 22:00,Very informative,neutral,1,Health
48,2127,01-02-2025 23:00,Excellent consultation,positive,4,Health
49,6766,01-03-2025 00:00,Very informative,neutral,2,Legal
50,6235,01-03-2025 01:00,Poor experience,negative,1,Health
51,3501,01-03-2025 02:00,Excellent consultation,positive,1,Legal
52,4073,01-03-2025 03:00,Helpful advice,positive,1,Legal
53,5060,01-03-2025 04:00,Very slow response,negative,1,Legal
54,5558,01-03-2025 05:00,Good service,positive,2,Education
55,1399,01-03-2025 06:00,Not satisfied,negative,5,Education
56,6614,01-03-2025 07:00,Not satisfied,negative,2,Legal
57,8079,01-03-2025 08:00,Very informative,neutral,5,Health
58,8881,01-03-2025 09:00,Very slow response,negative,3,Health
59,3244,01-03-2025 10:00,Quick response,neutral,1,Legal
60,9871,01-03-2025 11:00,Good service,positive,2,Legal
61,2562,01-03-2025 12:00,Poor experience,negative,5,Education
62,4272,01-03-2025 13:00,Helpful advice,positive,3,Education
63,8780,01-03-2025 14:00,Very slow response,negative,5,Health
64,8240,01-03-2025 15:00,Good service,positive,4,General
65,2682,01-03-2025 16:00,Excellent consultation,positive,3,Health
66,9334,01-03-2025 17:00,Poor experience,negative,3,Legal
67,2551,01-03-2025 18:00,Good service,positive,4,Legal
68,4954,01-03-2025 19:00,Helpful advice,positive,1,General
69,8751,01-03-2025 20:00,Very informative,neutral,5,Health
70,8890,01-03-2025 21:00,Very informative,neutral,5,Education
71,5732,01-03-2025 22:00,Very slow response,negative,3,Education
72,6530,01-03-2025 23:00,Poor experience,negative,3,Education
73,3755,01-04-2025 00:00,Excellent consultation,positive,1,Education
74,6181,01-04-2025 01:00,Helpful advice,positive,3,General
